Destination,District,Timespan,Review
Attidiya Bird Sanctuary,Colombo,3 months ago,Some spots are very scenic and make it an ideal dwelling for birds and other creatures. But would be lots better if the locals make an effort to preserve its pristine nature by not littering.. …
Attidiya Bird Sanctuary,Colombo,3 months ago,"Good place for birdwatching not only waterbirds, different type of species around here"
Attidiya Bird Sanctuary,Colombo,5 years ago,Calm and peaceful location to visit in your leisure time. They got a separate walking and jogging path and a separate path to ride bicycles. There are bicycle renting shops near the park. You can rent bicycles from them and ride. They got …
Attidiya Bird Sanctuary,Colombo,3 years ago,This is one of the only places in the entire city that is known for providing shelter to a minimum of 50 different species of birds. This includes both migratory and local birds. Here you will be able to witness a large number of …
Attidiya Bird Sanctuary,Colombo,2 years ago,"Early morning is a magical time at Attidiya. As dawn breaks through the cool mists that surround the marshy waters, one can observe the rich bird life at Attidya as they move freely around looking for food and preening themselves for the …"
Attidiya Bird Sanctuary,Colombo,3 years ago,"A wonderfull place for cycling, there are good set of people maintain it properly. Food court aalso rich. Has enough space for parking during the weekend too."
Attidiya Bird Sanctuary,Colombo,4 years ago,Urban birds watching place.some are thinking this place similar as Bellanwila park.But those are separate locations.not develop road and better to go this road by bike.you can catch some amount of birds pictures and be careful about crocodiles
Attidiya Bird Sanctuary,Colombo,4 years ago,The closest place to heaven you can find close to Colombo suburbs. An average food court cannot mar the beauty it holds within itself. The place is lively and filled with laughter. You can rent a bike for a 3.8km ride around the sanctuary …
Attidiya Bird Sanctuary,Colombo,4 years ago,Very relaxing place located conveniently. Plenty of parking around the place. For birds watching best times are 6.30am and around 4.30pm. Walking track is 3.5km round trip. After passing Pillawa Temple is a good area to watch birds. Also …
Attidiya Bird Sanctuary,Colombo,4 years ago,"Beautiful place..highly recommended for walking, jogging, and bicycles rides..very calm and natural place for relaxing..love this place👌 …"
Attidiya Bird Sanctuary,Colombo,4 years ago,This is not in fact a birds sanctuary which is a wrong term but a jogging and cycling track with a food court and seating area with cement tables under trees. You can get a bike on rent for Rs. 100 by keeping your nic on lien. There are 2 …
Attidiya Bird Sanctuary,Colombo,5 years ago,"Amidst the well populated suburbs of Attidiya, just outside Colombo, lie the marshy lands of Attidiya Bird Sanctuary. Bordering the famous Bellanwila Buddhist Temple; the sanctuary has rich and diverse birdlife, despite its comparatively …"
Attidiya Bird Sanctuary,Colombo,4 years ago,It's very nice place to watch Birds near by Colombo. With large lake surrounding the  bird sanctuary
Attidiya Bird Sanctuary,Colombo,3 years ago,Contact me via shiraj@365tranquil.com. Have my own bungalow where you can stay and will accompany you to many bird watching sanctuary in Colombo District Western Province. Including Attidiya Bird Sanctuary
Attidiya Bird Sanctuary,Colombo,2 years ago,This is probably the only place in Colombo that provides shelter to at least 50 different species of birds (both local and migratory). …
Attidiya Bird Sanctuary,Colombo,4 months ago,Good place for bird watching.. reach early morning....
Attidiya Bird Sanctuary,Colombo,4 years ago,"There are many local and foreign birds, they are not scared to human, crocodiles are in the lake."
Attidiya Bird Sanctuary,Colombo,5 years ago,"Nice palce to see birds. If you can in morning around 6, you can see beautiful views."
Attidiya Bird Sanctuary,Colombo,3 years ago,"Beautiful scenery. Lovely place for a walk, jog or cycle ride. Most common area to do everything is in the Lake Road. Sometimes I have seen crocodiles as well. But a nice place to just enjoy and come in the evening time. With the change"
Attidiya Bird Sanctuary,Colombo,a year ago,"Very important place to keep the balance of the nature. However, part of the sanctuary near the Bridge of Attidiya Road near Bellantara has been invaded by shops covering the scenic view. The board there had been displaced as well. …"
Attidiya Bird Sanctuary,Colombo,4 years ago,"Ideal place for day outing with your family. During the weekends the place is much crowded but you can enjoy and have a meal from food court, can ride a bicycle ride around the lake. you can rent a bicycle from there (100/- per 1 hour)"
Attidiya Bird Sanctuary,Colombo,3 months ago,Not much for me good for nature lovers
Attidiya Bird Sanctuary,Colombo,4 years ago,Good place to make your mind relaxed. Also you can exercise and ride bicycle.
Attidiya Bird Sanctuary,Colombo,5 years ago,"This is a great place to have an evening walk or a bicycle ride. Really appreciate the lovely environment with the jogging track of 2.7 km. But it's sad to say, the cleanliness of the park is not at the condition which it had early, people …"
Attidiya Bird Sanctuary,Colombo,9 months ago,This is one of the only places in the entire city that is known for providing shelter to a minimum of 50 different species of birds. This includes both migratory and local birds. Here you will be able to witness a large number of …
Attidiya Bird Sanctuary,Colombo,4 years ago,Very nice place to hangout in the evening. Have a little food court there but  it doesnt have much food varieties. There is a car park to park your vehicles and also there are bicycles for rent near the park. You can give your NIC + Rs.100/= per an hour for a bike. Basically nice place to spend the evening with family.
Attidiya Bird Sanctuary,Colombo,5 years ago,Great place for some exercise as there's a walking track and a biking track.  The food court is nice too but look around before deciding. …
Attidiya Bird Sanctuary,Colombo,2 years ago,"One of the most refreshing places to see in Colombo, the Attidiya Bird Sanctuary is home to over 50 avian species, along with variations of insects and butterflies species. The biodiversity of the place will leave you stunned as you take …"
Attidiya Bird Sanctuary,Colombo,5 years ago,"It's an amazing place to jogging and riding the bicycle with your family members. That also very good place for lovers to walking around and spend their times. Foods,drinks,bicycles and many more things are available."
Attidiya Bird Sanctuary,Colombo,4 years ago,"A little hard to find the entrance, but besides that had a great multi use trail around a lake with some wetlands. A few birds, but not as many as we hoped for. A very relaxed place popular with the locals. We were the only tourists, very calm and peaceful."
Attidiya Bird Sanctuary,Colombo,3 years ago,"Lovely place for a walk, jog or cycle ride. I wish they would place boards indicating distance from start point, so users would know the distance covered.
What was annoying was, the number of people who walk against the natural …"
Attidiya Bird Sanctuary,Colombo,5 years ago,Expansive area with a lot of greenery and a lot of birds. You’d have to visit early in the morning to see most birds but you’ll see some during daytime too. It looks like the increasing population in the surrounding areas and ever rising noise levels have driven some birds away but it’s still reasonably a sanctuary.
Attidiya Bird Sanctuary,Colombo,5 years ago,Good place to spend leisure time and the people who care about their own health and fitness. Having a scenic route of 3km of walking and cycling track is fascinating.
Attidiya Bird Sanctuary,Colombo,3 years ago,Very relaxing place located conveniently. Plenty of parking around the place. For birds watching best times are 6.30am and around 4.30pm. Walking track is 3.5km round trip.
Attidiya Bird Sanctuary,Colombo,a year ago,"Nothing special to see. Just a helabojun with a limited choices. the fish therapy is no longer there. Fish are there in the reservoir. If you are really into botany, this is a place to visit, and if you are not interested, nothing much to see."
Attidiya Bird Sanctuary,Colombo,6 years ago,A great place to enjoy evening and have a dinner. Bit expensive foods but compare to the taste and quality its quite reasonable.  Also the jogging track is 3km a round which is great for the cycling and jogging.
Attidiya Bird Sanctuary,Colombo,5 years ago,Near the Bellanvila park and bellanvila temple. There is a jogging track around the sanctuary and its about 3.5km long. Not too crowded. Nice place for an evening walk with friends or family. There are mountain bike rental places nearby so you can get one for very less price.
Attidiya Bird Sanctuary,Colombo,6 years ago,Great place for aesthetics with a attractive view.
Attidiya Bird Sanctuary,Colombo,4 years ago,"Very good place to visit for relaxing, jogging, walking. There are couple of good lcoally popular eateries, offer clean and tasty food. A very good place for kids to scootering and cycling. Cycles can be rented out a cheap rate too."
Attidiya Bird Sanctuary,Colombo,4 months ago,Many species of birds can be seen here.
Attidiya Bird Sanctuary,Colombo,3 years ago,"This is probably the only place in Colombo that provides shelter to at least 50 different species of birds (both local and migratory). A large number of water monitors, butterflies, insects and other birds tend to catch your attention as …"
Attidiya Bird Sanctuary,Colombo,4 years ago,My place for early morning walk.with the beauty of the rising sun behind Adams Peak in the distance is.more a spiritual exercise than a physical one.  You breathe in the tranquillity of the surrounding marsh and wake up call of the birds  while looking out for the crocodiles lurking beneath the water lillies.   It's bliss.
Attidiya Bird Sanctuary,Colombo,a year ago,There is no park there! The people cannot enter it unless you have an authorization! The name park given it has no meaning! If you are going there you can only go on the main road.
Attidiya Bird Sanctuary,Colombo,4 years ago,"Needs a little maintenance, but a good place for animal treatment.
I had a wild bird at home which could not fly and looked sick, so we gave it to Attidiya Bird Sanctuary, but unfortunately the veterinary was not available at that time but the care taker examined the bird. There were many other animals present."
Attidiya Bird Sanctuary,Colombo,2 years ago,We'll maintained. Not allowed for visitors unless you are offering tree planting. Check with the relevant authorities if needed visiting
Attidiya Bird Sanctuary,Colombo,3 years ago,"An urban marshland  sanctuary with the area of 372ha near Colombo suburb area. Sanctuary rich and diverse with biodiversity including over 150 birds, 70 butterflies, 40 fish and mammals species. Walking track inside the sanctuary and can obtain information at the  entrance office."
Attidiya Bird Sanctuary,Colombo,4 years ago,A nature paradise completely neglected by the authorities. Illegal encroachment have destroyed the beauty of this place. There are no birds  to see now due to the disturbances from people. The only natural nature park in the Greater Colombo …
Attidiya Bird Sanctuary,Colombo,a year ago,Attidiya bird santuary is a quiet place. people who are beginers of bird watching can visit here. You can feel the environment. But please remember do not to pollute this environment when you go.
Attidiya Bird Sanctuary,Colombo,6 years ago,"Nice place for bike ridding and bird watching.. but workers were not trained.. a security guard came and told we cannot take photographs with a DSLR camera, but with a phone we can.. but there were no rule such as that.. only commercial recording are not allowed.."
Attidiya Bird Sanctuary,Colombo,4 years ago,"Peace full place, nice place to hangout with friends."
Attidiya Bird Sanctuary,Colombo,3 years ago,3km track with a seperate bicycle track. Great for viweing the sun going down. Has a food court as well. Free ✈ cs theee days a week!
Attidiya Bird Sanctuary,Colombo,3 years ago,Extremely picturesque and well planned walking and cycling path. There is also a food court a must for everyone to to be healthy in body mind and soul
Attidiya Bird Sanctuary,Colombo,5 years ago,"Good place, easy to reach, ample parking, good food outlets. But needs more segregated trash cans in more places.... People tend to litter when there is no trash can in the near visinity"
Attidiya Bird Sanctuary,Colombo,4 months ago,Good place to watch birds.
Attidiya Bird Sanctuary,Colombo,4 years ago,"It is a very important environmental aria.Atthidiya is a wetland,and also we can see many variety of birds.we can see crocodiles in bolgoda river.So we must protect this aria definitely."
Attidiya Bird Sanctuary,Colombo,4 years ago,"There was no formal birding trail within the sanctuary, its really good if there was a proper trail constructed and maintained with a ticket booth and information centre"
Attidiya Bird Sanctuary,Colombo,5 years ago,"Amidst the well populated suburbs of Attidiya, just outside Colombo, lie the marshy lands of Attidiya Bird Sanctuary. Bordering the famous Bellanwila Buddhist Temple; the sanctuary has rich and diverse birdlife, despite its comparatively …"
Attidiya Bird Sanctuary,Colombo,2 years ago,"Don't go these days.. some constructions are going on...  evenings are full of full of disturbances of machines and nom Bird watchers...
Eger to watch birds, go during morning and as a group for safety.."
Attidiya Bird Sanctuary,Colombo,4 years ago,"A scenic and wonderful place to have a walk or run,while experience  nature,cultivation of paddy and vegetables and experience Deferent happinings sorunded by people from all ages and walks of life."
Attidiya Bird Sanctuary,Colombo,4 years ago,"It is close to the city, but it has a natural beauty. It is home to several varieties of birds that are endemic to Sri Lanka. In the spring, several birds come from different countries."
Attidiya Bird Sanctuary,Colombo,4 years ago,Place close to Colombo for bird watching and see some other creatures like dragonflies butterflies and lizards like monitor and water monitor. Entrance free unless you hire a guide.  Plastic pollution need to be addressed.  No direction …
Attidiya Bird Sanctuary,Colombo,2 years ago,I only visited to give them a bird we found in our garden but were worried since it wasn't eating. They were very kind in taking him/her in..
Attidiya Bird Sanctuary,Colombo,5 years ago,"This is a beautiful place adjoing well maintained jogging track surrounding the lake  , i love visiting the place to relax and take photos of different kindss of birds, i enjoy taking pictures, landscape is beautiful."
Attidiya Bird Sanctuary,Colombo,7 years ago,One of the few bird sanctuaries within Colombo. Quite worth a visit in the early morning as you will get to see a large number of marshland birds.
Attidiya Bird Sanctuary,Colombo,3 years ago,Bird hatching eggs at busy walkway
Attidiya Bird Sanctuary,Colombo,7 years ago,A good wetland sanctuary in Sri Lanka.but with the 'concrete and brick' development carried out recently the biodiversity has been reduced. The department of wildlife conservation has not paid much attention to protect this resource.
Attidiya Bird Sanctuary,Colombo,5 years ago,One of the most suitable place to take a fresh breath in colombo. If you need a break go and calm down. Love this place.
Attidiya Bird Sanctuary,Colombo,6 years ago,"Wonderful place for spend a evening with your family,friends,loved ones. Foods are tasty but little bit expensive."
Attidiya Bird Sanctuary,Colombo,8 months ago,Still not visit. I am eager to visit.
Attidiya Bird Sanctuary,Colombo,4 years ago,"This is a peaceful a place to visit in the evenings. One can see lots of birds here, especially during the evening times. Good place for photography"
Attidiya Bird Sanctuary,Colombo,4 years ago,"A 3.5 km stretch to run and have awalk, a three round jogging will result about 13000 steps and 700 - 900 calery loss in 1.30 hours."
Attidiya Bird Sanctuary,Colombo,4 years ago,"Pretty nice place + if your lucky ,you might be able to see salt water crocs as well."
Attidiya Bird Sanctuary,Colombo,5 years ago,"It's a beautiful area. People have dumped garbage and made the area untidy.
Many species of birds butterflies and small mammals are around."
Attidiya Bird Sanctuary,Colombo,9 months ago,Wonderful place to see crocodiles and birds
Attidiya Bird Sanctuary,Colombo,4 years ago,"Great place, but becoming a lovers park and the lovers seem to have no boundaries no limits to behavior."
Attidiya Bird Sanctuary,Colombo,4 years ago,We can walk around the lake.Good walking path.There is a path for cycling.
Attidiya Bird Sanctuary,Colombo,3 years ago,Had a great splendid time watching the birds on this vast sanctuary. The place is clean & nice..
Attidiya Bird Sanctuary,Colombo,4 years ago,"Kind of calm and peaceful place specially good for mind relaxation, also a very beautiful place."
Attidiya Bird Sanctuary,Colombo,4 years ago,It's place where you can observe birds from all around the world specially in their winter. Very good for studying birds.
Attidiya Bird Sanctuary,Colombo,7 years ago,"Lot of space and facilities such as food corners,ample of parking spaces and bicycle renting.calm natural walking path."
Attidiya Bird Sanctuary,Colombo,5 years ago,Cool place....good for family outing.. Good street foods also available near by.
Attidiya Bird Sanctuary,Colombo,7 years ago,Nice place to hangout in the evening... Can rent out a bicycle and ride around the paddy field with nice sceneries
Attidiya Bird Sanctuary,Colombo,4 years ago,Visitors come to this place unhygienic. Polythene and plastic wastes are left everywhere. We urge everyone not to do so. It is our responsibility to keep these places clean.
Attidiya Bird Sanctuary,Colombo,7 years ago,With in  the city a place where you can touch the nature.  Who are interested in bird watching taking photos willing to get their shoes in mud this is a good place.
Attidiya Bird Sanctuary,Colombo,6 years ago,This place has a walking/jogging path. Restaurants are also available. Nice place to relax in the evenings.
Attidiya Bird Sanctuary,Colombo,7 years ago,Really good place if you like to have rest. Have a very beautiful scenery.
Attidiya Bird Sanctuary,Colombo,5 years ago,Nice location for bird and butterfly watching
Attidiya Bird Sanctuary,Colombo,4 years ago,Week days not much of crowd. But in the weekends very crowded. Perfect place for quick bites.
Attidiya Bird Sanctuary,Colombo,3 years ago,Beautiful views. They should make use of the lake by allowing boat rides.
Attidiya Bird Sanctuary,Colombo,5 days ago,Good
Attidiya Bird Sanctuary,Colombo,3 years ago,Nice place for an evening walk specially on a weekday to avoid crowds
Attidiya Bird Sanctuary,Colombo,a month ago,Goog
Attidiya Bird Sanctuary,Colombo,4 years ago,It's just a concrete jungle now. Hardly any animals are seen. There's a small part of the jungle left. So happy for that.
Attidiya Bird Sanctuary,Colombo,5 years ago,Good place. Easy access. Food court and parking available
Attidiya Bird Sanctuary,Colombo,4 years ago,It is a great place with nice view. You can bring your kids there and be relax.
Attidiya Bird Sanctuary,Colombo,3 years ago,Very good place to spend time with friend or family members.
Attidiya Bird Sanctuary,Colombo,6 years ago,"Increasing pollution​ has made it less of a sanctuary for the birds. If you plan to go there for bird watching, be prepared to be disappointed."
Attidiya Bird Sanctuary,Colombo,5 years ago,"It's a great place to visit, you can watch lot of rare birds in the place"
Attidiya Bird Sanctuary,Colombo,a month ago,Supper 😉 …
Attidiya Bird Sanctuary,Colombo,4 years ago,If you want to see alligator around Colombo this is the best place. But no proper entrance .
Attidiya Bird Sanctuary,Colombo,3 years ago,Sensitive conservation area in Colombo. Love to be there and nice place to walk.
Attidiya Bird Sanctuary,Colombo,4 years ago,Water birds can be seen mostly in this area.Nice place to make a visit with young ones.
Attidiya Bird Sanctuary,Colombo,4 years ago,The bird park is still under constructions. It will become good place to relax your mind
Attidiya Bird Sanctuary,Colombo,4 years ago,Quiet place and excellent track for bicycle riding and walking.
Attidiya Bird Sanctuary,Colombo,3 years ago,There is a jogging track with cycling track of 2.85km close by. Can walk with bird songs.
Attidiya Bird Sanctuary,Colombo,3 years ago,Good place to spend spend spare time. Close to Bellanwila temple.
Attidiya Bird Sanctuary,Colombo,5 years ago,"Very good jogin path and cycling path.
Exercising area with beautiful enwierement"
Attidiya Bird Sanctuary,Colombo,3 years ago,Great place to unwind while experincing the essence of the nature.
Attidiya Bird Sanctuary,Colombo,4 years ago,Very beautiful place. But so dangerous. Because there are many reptiles in this place.
Attidiya Bird Sanctuary,Colombo,4 years ago,"Best for walking.But ,surprised I have never seen any bird there..oh.."
Attidiya Bird Sanctuary,Colombo,5 years ago,I buy my Cocotoo's food and my Fish food from here... I love that place... clean and nicely kept.
Attidiya Bird Sanctuary,Colombo,11 months ago,A nice place for natural birds.
Attidiya Bird Sanctuary,Colombo,4 years ago,Beautiful place.Not so many bird species theire.But good.
Attidiya Bird Sanctuary,Colombo,6 years ago,Nice place to spend some time with jogging track and a cycling track
Attidiya Bird Sanctuary,Colombo,2 years ago,Location and the ecology just being developed. Some more to go to become a full fledged sanctuary.
Attidiya Bird Sanctuary,Colombo,8 years ago,Best place for jogging and riding but no much maintainance from current government :(
Attidiya Bird Sanctuary,Colombo,6 years ago,Nice place to take a little rest after long driving.
Attidiya Bird Sanctuary,Colombo,7 years ago,I used to sit their when I visit to Bellanwila Temple. At noon the place is too hot
Attidiya Bird Sanctuary,Colombo,4 years ago,Its a restricted area went nothing to watch. rumor says not good place for girls.
Attidiya Bird Sanctuary,Colombo,3 years ago,Lovely spot for bird watching specially water hens and few migrants sp.
Attidiya Bird Sanctuary,Colombo,7 years ago,Nice natural place ; good place to watch birds & feel the natural environment
Attidiya Bird Sanctuary,Colombo,a year ago,Good place for cycling and walking.
Attidiya Bird Sanctuary,Colombo,6 years ago,"Romantic place where we can enjoy cycling, jogging and food with partner"
Attidiya Bird Sanctuary,Colombo,4 years ago,It is a Animal hospital we can bring injured animals to that place. So they take care of them.
Attidiya Bird Sanctuary,Colombo,3 years ago,Great place to drop off some injured bird u might have rescued
Attidiya Bird Sanctuary,Colombo,5 years ago,It's a beautiful tranquil place to watch migrating birds.
Attidiya Bird Sanctuary,Colombo,4 years ago,Lovely
Attidiya Bird Sanctuary,Colombo,5 years ago,"Gorgeous place, with many varieties of birds and huge crocs."
Attidiya Bird Sanctuary,Colombo,3 years ago,Really nice place. You all should visit
Attidiya Bird Sanctuary,Colombo,6 years ago,Good place to jogging. There you may got a restaurant
Attidiya Bird Sanctuary,Colombo,5 years ago,Very relaxing walking path.I saw lots of visiting birds.
Attidiya Bird Sanctuary,Colombo,4 years ago,This is a wild life sanctuary as wellas an animal hospital. They provide accomodation and treat injured animals
Attidiya Bird Sanctuary,Colombo,6 years ago,Badly polluted due to human activities yet the officials are trying to keep it well. Some mega constructions are being happened.
Attidiya Bird Sanctuary,Colombo,5 years ago,Good for bicycle riding. Low choice of food
Attidiya Bird Sanctuary,Colombo,5 years ago,Its an awesome place to visit in Colombo to witness a wide variety of birds
Attidiya Bird Sanctuary,Colombo,4 years ago,This place is having a big biodiversity and ideal location for bird watching.
Attidiya Bird Sanctuary,Colombo,4 years ago,Nice place to watch and photographs various kinds of birds.
Attidiya Bird Sanctuary,Colombo,5 years ago,Good place for joggin & cycling. But crowded on weekends
Attidiya Bird Sanctuary,Colombo,4 years ago,Nature lovers location for watch birds and good place to discover nature for beginners
Attidiya Bird Sanctuary,Colombo,4 years ago,A good place to hang out with friends and family...
Attidiya Bird Sanctuary,Colombo,6 years ago,Cool place to outing. Different types of food are available.
Attidiya Bird Sanctuary,Colombo,4 years ago,No much birds to watch. But this is a place to relax your mind within colombo area...
Attidiya Bird Sanctuary,Colombo,4 years ago,"Nice and there are lots of birds, but too urbanized"
Attidiya Bird Sanctuary,Colombo,6 years ago,Great place to hv a bicycle ride and have snack
Attidiya Bird Sanctuary,Colombo,5 years ago,"Nice place, if u like nature"
Attidiya Bird Sanctuary,Colombo,6 years ago,It's verry beautiful and verry clean natural looking area
Attidiya Bird Sanctuary,Colombo,5 years ago,Nice and calm place.... but crowded on weekends....
Attidiya Bird Sanctuary,Colombo,8 years ago,nice place to rent a bicycle and ride along the lake side
Attidiya Bird Sanctuary,Colombo,4 years ago,"The bird sanctuary is closed place now, Don't go.
They do not allow to anyone to go inside."
Attidiya Bird Sanctuary,Colombo,5 years ago,"Good place to relax, food, cycling and jogging"
Attidiya Bird Sanctuary,Colombo,4 years ago,It's very Clam environment. I love this place.
Attidiya Bird Sanctuary,Colombo,7 years ago,Best place to relax and jogging. And recreation and food.
Attidiya Bird Sanctuary,Colombo,3 years ago,"Crowded place, next to a temple, popular among locals for hangouts"
Attidiya Bird Sanctuary,Colombo,4 years ago,Good for leisure walking and exercise as well birding.
Attidiya Bird Sanctuary,Colombo,5 years ago,Lovely place. Very near to colonbo
Attidiya Bird Sanctuary,Colombo,5 years ago,We could not find the bird sanctuary. This place has changed yo Animal hospital. Please update records.
Attidiya Bird Sanctuary,Colombo,5 years ago,"Good place for Jogging, bicycle riding & exercises"
Attidiya Bird Sanctuary,Colombo,5 years ago,"Great, quiet place for a stroll in the evening."
Attidiya Bird Sanctuary,Colombo,6 years ago,Good place to birds photography in colombo but not cleaned place
Attidiya Bird Sanctuary,Colombo,4 years ago,No birds or no shelter. It's worst place to visit. If u need to watch birds. Go to Forest not here.
